ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously
Vir1,1.0,1.0,,Chincoteague,Virginia,23336.0,,75000.0,0
Vir2,1.0,1.0,,Chincoteague,Virginia,23336.0,,75000.0,0
Vir3,1.0,1.0,,Chincoteague,Virginia,23336.0,,75000.0,0
Vir4,1.0,1.0,,Chincoteague,Virginia,23336.0,,75000.0,0
Vir5,1.0,1.0,,Chincoteague,Virginia,23336.0,,75000.0,0
Vir6,1.0,1.0,,Chincoteague,Virginia,23336.0,,75000.0,0
Vir7,1.0,1.0,,Chincoteague,Virginia,23336.0,,75000.0,0
Vir8,1.0,1.0,,Chincoteague,Virginia,23336.0,,75000.0,0
Vir9,1.0,1.0,,Chincoteague,Virginia,23336.0,,75000.0,0
Vir10,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir11,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir12,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir13,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir14,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir15,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir16,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir17,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir18,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir19,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir20,1.0,1.0,0.31,Chincoteague,Virginia,23336.0,,249000.0,0
Vir21,1.0,1.0,0.22,Cape Charles,Virginia,23310.0,,680000.0,0
Vir22,1.0,1.0,0.22,Cape Charles,Virginia,23310.0,,725000.0,0
Vir23,1.0,1.0,0.22,Cape Charles,Virginia,23310.0,,755000.0,0
Vir24,1.0,1.0,0.28,Cape Charles,Virginia,23310.0,,725000.0,0
Vir25,1.0,1.0,0.26,Cape Charles,Virginia,23310.0,,680000.0,0
Vir26,1.0,1.0,0.26,Cape Charles,Virginia,23310.0,,680000.0,0
Vir27,1.0,1.0,0.22,Cape Charles,Virginia,23310.0,,680000.0,0
Vir28,1.0,1.0,0.22,Cape Charles,Virginia,23310.0,,725000.0,0
Vir29,1.0,1.0,0.22,Cape Charles,Virginia,23310.0,,755000.0,0
Vir30,1.0,1.0,0.28,Cape Charles,Virginia,23310.0,,725000.0,0
Vir31,1.0,1.0,0.26,Cape Charles,Virginia,23310.0,,680000.0,0
